label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,000a_20201117_SRJ_HILICnegpos_0a_0_Blank_0_0_0,001_20201117_SRJ_HILICnegpos_1_SL01_P1_24hr_Vehicle_13CGln,002_20201117_SRJ_HILICnegpos_2_SL02_P1_24hr_Vehicle_13CGln,003_20201117_SRJ_HILICnegpos_3_SL03_P1_24hr_Vehicle_13CGln,004_20201117_SRJ_HILICnegpos_4_SL04_P1_24hr_0p5um_13CGln,005_20201117_SRJ_HILICnegpos_5_SL05_P1_24hr_0p5um_13CGln,006_20201117_SRJ_HILICnegpos_6_SL06_P1_24hr_0p5um_13CGln,007_20201117_SRJ_HILICnegpos_7_SL07_P1_24hr_1um_13CGln,008_20201117_SRJ_HILICnegpos_8_SL08_P1_24hr_1um_13CGln,009_20201117_SRJ_HILICnegpos_9_SL09_P1_24hr_1um_13CGln,010_20201117_SRJ_HILICnegpos_10_SL10_P3_24hr_Vehicle_13CGln,011_20201117_SRJ_HILICnegpos_11_SL11_P3_24hr_Vehicle_13CGln,012_20201117_SRJ_HILICnegpos_12_SL12_P3_24hr_Vehicle_13CGln,013_20201117_SRJ_HILICnegpos_13_SL13_P3_24hr_0p5um_13CGln,014_20201117_SRJ_HILICnegpos_14_SL14_P3_24hr_0p5um_13CGln,015_20201117_SRJ_HILICnegpos_15_SL15_P3_24hr_0p5um_13CGln,016_20201117_SRJ_HILICnegpos_16_SL16_P3_24hr_1um_13CGln,017_20201117_SRJ_HILICnegpos_17_SL17_P3_24hr_1um_13CGln,018_20201117_SRJ_HILICnegpos_18_SL18_P3_24hr_1um_13CGln,019_20201117_SRJ_HILICnegpos_19_SL19_P1_24hr_Vehicle_13CGluc,020_20201117_SRJ_HILICnegpos_20_SL20_P1_24hr_Vehicle_13CGluc,021_20201117_SRJ_HILICnegpos_21_SL21_P1_24hr_Vehicle_13CGluc,022_20201117_SRJ_HILICnegpos_22_SL22_P1_24hr_0p5um_13CGluc,023_20201117_SRJ_HILICnegpos_23_SL23_P1_24hr_0p5um_13CGluc,024_20201117_SRJ_HILICnegpos_24_SL24_P1_24hr_0p5um_13CGluc,030_20201117_SRJ_HILICnegpos_30_SL30_P3_24hr_Vehicle_13CGluc,025_20201117_SRJ_HILICnegpos_25_SL25_P1_24hr_1um_13CGluc,026_20201117_SRJ_HILICnegpos_26_SL26_P1_24hr_1um_13CGluc,027_20201117_SRJ_HILICnegpos_27_SL27_P1_24hr_1um_13CGluc,028_20201117_SRJ_HILICnegpos_28_SL28_P3_24hr_Vehicle_13CGluc,029_20201117_SRJ_HILICnegpos_29_SL29_P3_24hr_Vehicle_13CGluc,031_20201117_SRJ_HILICnegpos_31_SL31_P3_24hr_0p5um_13CGluc,032_20201117_SRJ_HILICnegpos_32_SL32_P3_24hr_0p5um_13CGluc,033_20201117_SRJ_HILICnegpos_33_SL33_P3_24hr_0p5um_13CGluc,034_20201117_SRJ_HILICnegpos_34_SL34_P3_24hr_1um_13CGluc,035_20201117_SRJ_HILICnegpos_35_SL35_P3_24hr_1um_13CGluc,036_20201117_SRJ_HILICnegpos_36_SL36_P3_24hr_1um_13CGluc
,7,11,0,676.15564,12.962,0.211303,,C13-label-12,NAD+,NAD+,C21H27N7O14P2,0.718,1.534552,664.115662,0,0,0,5514.9,11311.44,6717.96,10823.64,3939.93,0,0,6726.51,0,7854.68,0,0,0,0,0,0,72509.12,46153.26,113107.88,0,0,0,10898.59,0,10979.22,0,20819.55,23792.52,0,0,0,0,0,0
,7,12,0,677.158508,13.002,0.124124,,C13-label-13,NAD+,NAD+,C21H27N7O14P2,0.678,2.25335,664.115662,0,3307.53,0,0,0,0,0,0,0,0,19050.88,12584.51,6413.64,0,0,0,0,0,0,44336.38,42988.86,41231.84,0,0,9203.71,82000.92,0,0,0,59043.86,37043.78,7351.62,0,19658.39,47456.36,11538.8,9334.71
,7,13,0,678.165039,12.997,0.069509,,C13-label-14,NAD+,NAD+,C21H27N7O14P2,0.683,2.520019,664.115662,0,107321.52,31848.53,37321.73,0,39125.12,28487.7,12048.6,44097.5,44844.12,0,0,0,0,0,17392.98,4058.56,9321.44,0,12057.83,19073.99,23537.09,0,13645.79,19709.79,10421.09,0,0,0,9927.07,17241.33,0,0,0,0,0,9240.63
,7,14,0,682.177002,12.972,0.061548,,C13-label-18,NAD+,NAD+,C21H27N7O14P2,0.708,0.357885,664.115662,0,0,0,19135.77,24651.52,7817.66,0,0,0,28646.72,0,0,12724.37,8935.89,8786.88,34336.22,30010.22,0,5388.2,11954.17,0,32376.63,0,0,0,32204.76,0,15634.7,0,34552.35,27187.49,0,0,8659.86,0,77147.05,0
,7,15,26,666.121155,12.95,0.835484,,C13-label-2,NAD+,NAD+,C21H27N7O14P2,0.73,2.932078,664.115662,0,778840.75,858710,912023.06,806063.12,684777,782545.88,513155.5,443621.75,573565.94,626289.12,864149.38,823215.38,504473.75,464578.41,483262.28,489814,351407.75,392661.06,1611725.12,1504988.38,1530771.25,1201931.62,1191428,1127788.5,1751438.38,1218072.25,1478553.75,1221486.62,1228165.12,1690968.88,1348729.5,1241433.38,1014798.31,989927.69,1152294.25,1108698.38
,7,16,20,667.124573,12.956,0.818537,,C13-label-3,NAD+,NAD+,C21H27N7O14P2,0.724,2.836179,664.115662,0,107227.43,63506.98,132297.38,105673.9,62125.89,98723.84,66248.13,43635.21,17374.92,55654.46,92970.52,82807.91,45136.34,23185.3,34081.98,37085.25,39196.84,45405.09,301214.62,305928.28,327695.78,191451.27,250948.67,215571.73,298015.81,281070.06,336634.53,322555.59,209971.36,271378.62,292342.53,286624.84,217528.44,229861.34,242701.16,264650.88
,7,17,17,668.128662,12.96,0.82989,,C13-label-4,NAD+,NAD+,C21H27N7O14P2,0.72,1.735693,664.115662,0,9427.74,13201.07,4853.37,4304.89,5107.86,11577.12,0,0,0,12910.48,0,6358.03,0,0,0,0,0,0,260593.84,237604.59,237418.88,209605.7,176794.36,108712.06,376007.69,142782.47,168056.95,161478.62,255149.62,340615.94,380393.19,382783.75,284394.47,227285.89,316248.97,266781.16
,7,18,16,669.132202,12.949,0.842944,,C13-label-5,NAD+,NAD+,C21H27N7O14P2,0.731,1.459444,664.115662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3683139.75,3537212.75,3846175.75,2501788,2484594.25,2495487.5,5881563.5,1448412.62,1927071.5,1555588.25,4007961.75,5061093.5,4197557,4019189,3563059.75,2610349.25,2985077.5,3059813.75
,7,19,12,670.134827,12.99,0.819006,,C13-label-6,NAD+,NAD+,C21H27N7O14P2,0.69,2.550203,664.115662,0,0,3217.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727835.25,720331.56,753727.94,275453.56,163040.86,105932.97,1152078.38,28189.33,42457.81,9078.84,761737.12,967029.75,160753.8,326735.84,153065.12,223788.62,103890.2,241343.27
,7,20,3,671.137512,12.996,0.816499,,C13-label-7,NAD+,NAD+,C21H27N7O14P2,0.684,3.546758,664.115662,0,0,0,0,0,0,0,0,0,0,0,0,11957.59,0,0,0,0,0,0,174293.75,153420.69,203951.83,0,0,0,203641.69,0,19313.85,0,140290.39,195718.06,22890.85,14812.13,27299.08,16639.59,16274.21,9671.42
,7,21,2,672.143005,12.981,0.759825,,C13-label-8,NAD+,NAD+,C21H27N7O14P2,0.699,0.363227,664.115662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28732.97,52326.46,52726.21,0,0,0,63898.27,0,0,0,5099.54,26828.39,13834.33,0,12915.18,0,0,0
,7,22,0,673.146179,12.934,0.062117,,C13-label-9,NAD+,NAD+,C21H27N7O14P2,0.746,0.6347,664.115662,0,0,0,9346.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44574.17,39705.86,24675.36,0,0,0,47973.52,0,0,0,29030.53,45202.19,0,0,0,9183.1,0,0
